Date,Day-ahead Price [EUR/MWh],Wind Offshore  [MW] Day Ahead
01/10/2018,100,946.9166667
02/10/2018,72.22,1674.083333
03/10/2018,80.61,1291.333333
04/10/2018,71.6,910.7916667
05/10/2018,80.55,509.6666667
06/10/2018,103.46,842.25
07/10/2018,71.15,2174.583333
08/10/2018,71.11,2934.083333
09/10/2018,63.07,3019.625
10/10/2018,74.46,2677.833333
11/10/2018,74.21,2113.958333
12/10/2018,64.54,2808.791667
13/10/2018,89.51,653.7083333
14/10/2018,85.81,544.2916667
15/10/2018,111.61,674.5416667
16/10/2018,70,2061.083333
17/10/2018,80.14,486
18/10/2018,92.97,260.8333333
19/10/2018,80.74,845.1666667
20/10/2018,81.48,1374.5
21/10/2018,77.01,1575.875
22/10/2018,90,1024.208333
23/10/2018,73.4,1607.541667
24/10/2018,78.96,762.625
25/10/2018,101.57,848.7916667
26/10/2018,82.82,2514.708333
27/10/2018,73.56,2123.791667
28/10/2018,72.65,517.36
29/10/2018,66.44,1233.166667
30/10/2018,90,592.75
31/10/2018,84.82,467.75
01/11/2018,82.89,392.4583333
02/11/2018,75,1621.666667
03/11/2018,57.82,3428.458333
04/11/2018,72.33,1740.583333
05/11/2018,82.59,431.875
06/11/2018,55.03,2048.791667
07/11/2018,74.43,987.625
08/11/2018,62.79,1750.333333
09/11/2018,58,2748.25
10/11/2018,75.06,1066.75
11/11/2018,66.57,1607.625
12/11/2018,69.1,2170.166667
13/11/2018,69.76,2333.333333
14/11/2018,62.22,3292.458333
15/11/2018,66.6,2327.833333
16/11/2018,72.36,2188.375
17/11/2018,67.67,2609.166667
18/11/2018,66,2335.75
19/11/2018,77.57,1815.875
20/11/2018,69.19,1713.541667
21/11/2018,72.7,1167.291667
22/11/2018,85.93,1814.5
23/11/2018,93.7,1217.75
24/11/2018,77.26,837.4583333
25/11/2018,73.52,917.0416667
26/11/2018,94.81,1109.791667
27/11/2018,68.69,2463.375
28/11/2018,53,3470.666667
29/11/2018,70,2534.041667
30/11/2018,64.84,2564.416667
01/12/2018,79.71,1210
02/12/2018,70.46,1547.166667
03/12/2018,89.4,510.1666667
04/12/2018,123.74,553.25
05/12/2018,73.88,1137.583333
06/12/2018,65.44,2009.875
07/12/2018,65.59,3686.166667
08/12/2018,67,3332.916667
09/12/2018,67.04,2567.458333
10/12/2018,85.23,1081.208333
11/12/2018,63.22,2149.208333
12/12/2018,102.2,1550.541667
13/12/2018,62.2,2877.541667
14/12/2018,77.97,2796.541667
15/12/2018,72.78,3087.958333
16/12/2018,74.06,1613.25
17/12/2018,76.88,2840.416667
18/12/2018,71.89,2056.541667
19/12/2018,68.11,2349.5
20/12/2018,65.67,2024.541667
21/12/2018,87.66,1755.708333
22/12/2018,68.61,1231.708333
23/12/2018,76.16,507.5833333
24/12/2018,83.84,520.5833333
25/12/2018,79.22,1466.125
26/12/2018,70.36,1080.541667
27/12/2018,90.1,299.0416667
28/12/2018,86.46,744.875
29/12/2018,67.92,1503.875
30/12/2018,75.3,1062.916667
31/12/2018,68.6,1344.458333
01/01/2019,67.73,244.625
02/01/2019,126.8,498.5833333
03/01/2019,112.33,764.2916667
04/01/2019,146.9,1133.375
05/01/2019,73.23,1362.708333
06/01/2019,74.65,431.8333333
07/01/2019,69.92,2010.5
08/01/2019,150.84,516.5833333
09/01/2019,116,110.5
10/01/2019,95,157.0416667
11/01/2019,78.15,535.1666667
12/01/2019,62.91,2305
13/01/2019,53.17,2892.375
14/01/2019,99.11,983
15/01/2019,70.14,2197
16/01/2019,71.07,1748.5
17/01/2019,155.57,1059.833333
18/01/2019,76,1485.166667
19/01/2019,80.98,1004.291667
20/01/2019,64.5,1629.958333
21/01/2019,73.7,2098.708333
22/01/2019,71.54,2392.916667
23/01/2019,94.77,681.9583333
24/01/2019,108.71,1138.375
25/01/2019,77.49,1629.625
26/01/2019,53.17,2816.625
27/01/2019,50.03,2586.041667
28/01/2019,75.42,1654.791667
29/01/2019,77.96,1405.583333
30/01/2019,84.72,993.625
31/01/2019,71.07,1603.541667
01/02/2019,83.68,1703.791667
02/02/2019,71,598.9166667
03/02/2019,57,1784.083333
04/02/2019,66.75,1721.375
05/02/2019,63,2488.333333
06/02/2019,60.97,2052.333333
07/02/2019,60.63,2505.333333
08/02/2019,55,3658.291667
09/02/2019,53,2203.75
10/02/2019,58,2126.166667
11/02/2019,115.64,822.5
12/02/2019,56.86,2183.416667
13/02/2019,53.1,2970.791667
14/02/2019,53.63,2808.666667
15/02/2019,53.64,2801.166667
16/02/2019,72.1,2830.875
17/02/2019,49.79,3159.083333
18/02/2019,54.95,2258.833333
19/02/2019,59,2370.75
20/02/2019,53.47,2763.916667
21/02/2019,52.8,3078.625
22/02/2019,52.14,3416.291667
23/02/2019,47.8,2115.458333
24/02/2019,51.65,2158.375
25/02/2019,47.82,2276.166667
26/02/2019,78.49,1191.833333
27/02/2019,75,728.5
28/02/2019,61.1,957.5833333
01/03/2019,69.02,1053.666667
02/03/2019,32.5,2715.25
03/03/2019,61.71,1607.875
04/03/2019,53.72,2525.625
05/03/2019,52.09,1670.166667
06/03/2019,60.45,1868.541667
07/03/2019,47,2501.375
08/03/2019,55.97,2030.708333
09/03/2019,46.75,2237.375
10/03/2019,35.26,2960.125
11/03/2019,89.8,2817.166667
12/03/2019,59,3483.541667
13/03/2019,49.11,3690.666667
14/03/2019,45.59,3267.5
15/03/2019,47.67,2535.083333
16/03/2019,45.67,1951.333333
17/03/2019,44.59,2571.291667
18/03/2019,50,849.9583333
19/03/2019,55.09,919.7083333
20/03/2019,60.95,1108.416667
21/03/2019,55.06,1742.333333
22/03/2019,47.05,2375.041667
23/03/2019,56.39,295.9583333
24/03/2019,43.1,831.2916667
25/03/2019,103.44,225.0833333
26/03/2019,62,432.2083333
27/03/2019,64.43,447.125
28/03/2019,65,882.0833333
29/03/2019,50.89,1032.833333
30/03/2019,54.11,432.7916667
31/03/2019,47.86,794.5652174
01/04/2019,81.42,672
02/04/2019,60,2268.333333
03/04/2019,47.04,2608.333333
04/04/2019,55.62,949.25
05/04/2019,48.55,833.9166667
06/04/2019,56.87,1206.833333
07/04/2019,65.97,465.6666667
08/04/2019,69.52,1092.916667
09/04/2019,74.99,604.7916667
10/04/2019,87.31,355.6666667
11/04/2019,104,294.875
12/04/2019,62.62,1527.958333
13/04/2019,48.53,3173.041667
14/04/2019,49.34,3493.541667
15/04/2019,50.99,3588
16/04/2019,64.4,691.375
17/04/2019,58.12,1131.458333
18/04/2019,49.79,1341.041667
19/04/2019,59.22,678.2083333
20/04/2019,65.52,147.625
21/04/2019,58.7,843.9166667
22/04/2019,42.33,1986.75
23/04/2019,47.49,1050.166667
24/04/2019,54.51,927.5
25/04/2019,51.92,724.0416667
26/04/2019,47.95,2052.958333
27/04/2019,32,2745.416667
28/04/2019,50.21,478.5
29/04/2019,59.43,712.7083333
30/04/2019,48.51,1181.541667
01/05/2019,68.01,246.1666667
02/05/2019,47.59,625.0416667
03/05/2019,62.54,719.4166667
04/05/2019,45.04,677.7083333
05/05/2019,50.27,169.9583333
06/05/2019,47.04,147.7083333
07/05/2019,65.78,290.8333333
08/05/2019,50.67,944.1666667
09/05/2019,53,304.2916667
10/05/2019,76.99,221.625
11/05/2019,66.5,462.7083333
12/05/2019,57,441.5
13/05/2019,43.07,1838.625
14/05/2019,43.83,2053.416667
15/05/2019,43.05,1733.875
16/05/2019,47.51,366.1666667
17/05/2019,60.01,170.125
18/05/2019,60.93,550.9166667
19/05/2019,48.14,909
20/05/2019,59.78,415
21/05/2019,63,127.4166667
22/05/2019,106.32,374.1666667
23/05/2019,100,215.4583333
24/05/2019,103.13,491.75
25/05/2019,90,354.6666667
26/05/2019,38.73,1618.25
27/05/2019,40.92,1514.5
28/05/2019,52,856.7916667
29/05/2019,52.17,929.8333333
30/05/2019,42.13,1666.666667
31/05/2019,44.95,1843.708333
01/06/2019,48.68,418.3333333
02/06/2019,38.93,2312.541667
03/06/2019,29.24,1514.791667
04/06/2019,66,320.1666667
05/06/2019,43.58,726.125
06/06/2019,54,541.2916667
07/06/2019,84,433.25
08/06/2019,0,1058.75
09/06/2019,48.14,504.8333333
10/06/2019,58.94,242.2916667
11/06/2019,48.49,1288.083333
12/06/2019,49.46,1682.416667
13/06/2019,42.77,1486.875
14/06/2019,125,751.375
15/06/2019,51.35,316.4166667
16/06/2019,49.09,915
17/06/2019,40.28,1374
18/06/2019,83.07,413.4583333
19/06/2019,75.22,598.0416667
20/06/2019,49.45,611.625
21/06/2019,44.39,240.0416667
22/06/2019,43.81,562.4583333
23/06/2019,41,1435.875
24/06/2019,73.79,439.25
25/06/2019,71.93,117
26/06/2019,59.88,877.1666667
27/06/2019,45.7,2048.833333
28/06/2019,38.85,1842.958333
29/06/2019,49.05,702.5
30/06/2019,41.82,1621.25
01/07/2019,34.68,1276.458333
02/07/2019,70.43,223.375
03/07/2019,70.93,178.1666667
04/07/2019,69,208
05/07/2019,59.99,405.6666667
06/07/2019,48.2,296.9166667
07/07/2019,48.08,161
08/07/2019,89.7,81.95833333
09/07/2019,101,138.7083333
10/07/2019,62,310.9166667
11/07/2019,57.98,567.625
12/07/2019,55.61,712.1666667
13/07/2019,63.11,423.8333333
14/07/2019,59.6,251.7916667
15/07/2019,98,332.5416667
16/07/2019,110,311.6666667
17/07/2019,47.52,1037.875
18/07/2019,45.92,864.0416667
19/07/2019,61.5,730.875
20/07/2019,56.96,412.6666667
21/07/2019,37.07,1479.625
22/07/2019,33,2500.958333
23/07/2019,42.43,1315.875
24/07/2019,45,613.125
25/07/2019,48.53,2041
26/07/2019,47.47,1666.375
27/07/2019,85.41,266.9166667
28/07/2019,46.78,431.5416667
29/07/2019,105,571.0416667
30/07/2019,53.51,460.9583333
31/07/2019,81,395
01/08/2019,81.83,153.5833333
02/08/2019,79.92,212.1666667
03/08/2019,52.98,545.4583333
04/08/2019,49.67,707.625
05/08/2019,51.01,872.5416667
06/08/2019,48,1323.25
07/08/2019,51,697.7916667
08/08/2019,87.8,570.125
09/08/2019,44.36,1175.75
10/08/2019,52.82,1561.25
11/08/2019,45,775.5
12/08/2019,71.38,418.0416667
13/08/2019,96,420.375
14/08/2019,73.53,391.5
15/08/2019,41.48,1300
16/08/2019,42.76,2349.5
17/08/2019,35,2484.625
18/08/2019,33.95,2188.791667
19/08/2019,44.1,1562
20/08/2019,81,694.9583333
21/08/2019,40.08,1851.875
22/08/2019,39.96,1697.666667
23/08/2019,47.62,1482.875
24/08/2019,58.15,582
25/08/2019,69.91,474.0833333
26/08/2019,100,419.1666667
27/08/2019,91.91,1131.791667
28/08/2019,100.9,433.375
29/08/2019,46.57,2310.375
30/08/2019,37.03,2427.833333
31/08/2019,38.96,1736.458333
01/09/2019,47.84,1391
02/09/2019,44.15,1180.166667
03/09/2019,41.59,2160.416667
04/09/2019,32,2842.958333
05/09/2019,36.6,1447.708333
06/09/2019,36.79,2197.375
07/09/2019,56.71,355.2083333
08/09/2019,46.46,433.5833333
09/09/2019,46.85,1305.541667
10/09/2019,77.83,1164.75
11/09/2019,35.84,2027.625
12/09/2019,44.31,1559.166667
13/09/2019,145.84,265.8333333
14/09/2019,46.14,1261.958333
15/09/2019,47.39,719.9583333
16/09/2019,75.32,398.0416667
17/09/2019,120.03,90.91666667
18/09/2019,107.17,173.6666667
19/09/2019,80,463.75
20/09/2019,49.13,2155.041667
21/09/2019,29.32,2824.041667
22/09/2019,49.27,1013.875
23/09/2019,45.56,1710.958333
24/09/2019,50.52,1233.416667
25/09/2019,52,1068.041667
26/09/2019,44.85,2005.958333
27/09/2019,48.08,1764.333333
28/09/2019,38.43,1503.125
29/09/2019,46.06,1013.333333
30/09/2019,45.42,726
01/10/2019,41.83,1024.25
02/10/2019,78.24,239.75
03/10/2019,28.15,2187.541667
04/10/2019,37.45,1962.125
05/10/2019,48.7,1024.875
06/10/2019,45.3,600.0833333
07/10/2019,48.05,2525.625
08/10/2019,39,2986.5
09/10/2019,46.11,2672.666667
10/10/2019,43.18,2427.833333
11/10/2019,42.49,1772.041667
12/10/2019,50.2,868.5
13/10/2019,50.33,355.2916667
14/10/2019,50.68,579.375
15/10/2019,54.37,1367.916667
16/10/2019,46.9,1421.041667
17/10/2019,48.6,2091.833333
18/10/2019,55.68,1039.416667
19/10/2019,56.38,999.875
20/10/2019,43.12,1473.291667
21/10/2019,92,264.6666667
22/10/2019,52.37,1247.25
23/10/2019,38.18,2454.583333
24/10/2019,50.89,1429.791667
25/10/2019,87,650.4166667
26/10/2019,59.72,658.8333333
27/10/2019,55.42,549.68
28/10/2019,51.12,723.5833333
29/10/2019,49.2,1962.666667
30/10/2019,41.57,2438.25
31/10/2019,45.98,1245
01/11/2019,70.49,1961.375
02/11/2019,42.84,2827.916667
03/11/2019,42.23,1129.625
04/11/2019,46.67,1484.083333
05/11/2019,48.45,1323.833333
06/11/2019,65.81,825.375
07/11/2019,48.75,1779.833333
08/11/2019,73.2,751.2083333
09/11/2019,50.43,1928.125
10/11/2019,58.85,1100.375
11/11/2019,46.47,3068.583333
12/11/2019,47.94,1976.666667
13/11/2019,68.15,1140.166667
14/11/2019,51,2828.416667
15/11/2019,47.8,1590.541667
16/11/2019,66.19,158.625
17/11/2019,49.41,1072.041667
18/11/2019,64.53,919.0416667
19/11/2019,62,1514.375
20/11/2019,54.17,2343.916667
21/11/2019,51,1138
22/11/2019,56.78,352.25
23/11/2019,56.92,1042.958333
24/11/2019,57.34,895.0833333
25/11/2019,62.75,986.1666667
26/11/2019,53.11,1201
27/11/2019,80,335.5
28/11/2019,71.44,572.6666667
29/11/2019,61,605.8333333
30/11/2019,46.73,1364.916667
01/12/2019,55.48,415.9583333
02/12/2019,115,322.9583333
03/12/2019,60.16,2095.041667
04/12/2019,53.07,1922.833333
05/12/2019,37.71,3341.916667
06/12/2019,51,2835.916667
07/12/2019,56.57,2670.625
08/12/2019,-0.1,4032.541667
09/12/2019,48.98,2398.75
10/12/2019,39,3950.291667
11/12/2019,53.19,2503.875
12/12/2019,60.74,2422.75
13/12/2019,48.55,2971.291667
14/12/2019,44.48,3092.791667
15/12/2019,49.51,1514.875
16/12/2019,52.62,1126.875
17/12/2019,75,442.75
18/12/2019,39.5,3152.208333
19/12/2019,50.43,1069.458333
20/12/2019,90,758.75
21/12/2019,51.65,596.2916667
22/12/2019,51.02,1861.291667
23/12/2019,40.43,2145.541667
24/12/2019,60,1403.833333
25/12/2019,50.33,1343.375
26/12/2019,35.09,2983.958333
27/12/2019,39.47,2516.333333
28/12/2019,44.15,3443.416667
29/12/2019,38.57,3236.5
30/12/2019,46.64,735.0416667
31/12/2019,50.32,645.0833333
01/01/2020,45.67,1387.916667
02/01/2020,44,3486.666667
03/01/2020,53.18,1741.5
04/01/2020,43.36,1495.375
05/01/2020,43.47,2793.041667
06/01/2020,41.44,3236.375
07/01/2020,46.21,3806.5
08/01/2020,54.99,923.25
09/01/2020,69.18,804.9166667
10/01/2020,49.47,2689.333333
11/01/2020,36.17,3550.75
12/01/2020,49.67,1251.25
13/01/2020,45.02,3888.166667
14/01/2020,43.12,2869.375
15/01/2020,45.97,3175.625
16/01/2020,40.44,3268.833333
17/01/2020,49.72,1714.166667
18/01/2020,45.98,305.0833333
19/01/2020,44.07,828.9166667
20/01/2020,48.4,1452.791667
21/01/2020,75,707
22/01/2020,80.48,202.2916667
23/01/2020,75.25,434.5416667
24/01/2020,74.3,566.375
25/01/2020,43.93,1867.833333
26/01/2020,43.35,1968.916667
27/01/2020,43.21,2044.916667
28/01/2020,46.83,3104.041667
29/01/2020,44.78,2192.416667
30/01/2020,48.63,2063.291667
31/01/2020,46,3297.083333
01/02/2020,34.3,2952.25
02/02/2020,35,2632.416667
03/02/2020,34.82,3373.791667
04/02/2020,36.28,2406.208333
05/02/2020,71.46,1068.75
06/02/2020,46.19,1854.541667
07/02/2020,35.93,3203.375
08/02/2020,32.24,3470.625
09/02/2020,26.48,4124.875
10/02/2020,38.39,4357.458333
11/02/2020,25.03,4047.5
12/02/2020,55.39,1775.416667
13/02/2020,37.55,1537.416667
14/02/2020,27,3127.041667
15/02/2020,26,4055.875
16/02/2020,20.19,4196.333333
17/02/2020,39.04,3919.333333
18/02/2020,39.39,3434.291667
19/02/2020,46.1,2971.375
20/02/2020,38.26,3315.375
21/02/2020,38.49,4365.833333
22/02/2020,37.8,4088.666667
23/02/2020,39,1801.833333
24/02/2020,41.61,3877.5
25/02/2020,39.08,3261.25
26/02/2020,38.68,2447.291667
27/02/2020,44.76,1572.333333
28/02/2020,43.06,1665.75
29/02/2020,35,3796.083333
01/03/2020,30.8,3900.791667
02/03/2020,38.94,2756.041667
03/03/2020,39.13,1043.125
04/03/2020,55.35,2091.5
05/03/2020,79.06,1034.125
06/03/2020,37.27,1597.375
07/03/2020,25,3012.416667
08/03/2020,30,3501.916667
09/03/2020,40.83,3345.916667
10/03/2020,30.18,3234.541667
11/03/2020,32.95,3224.25
12/03/2020,31.02,3882.416667
13/03/2020,52.98,1065.583333
14/03/2020,45.13,2363.416667
15/03/2020,41.29,2932.458333
16/03/2020,32.25,2332.291667
17/03/2020,34.68,1802.958333
18/03/2020,36.67,873.5416667
19/03/2020,49.9,787.9166667
20/03/2020,36.2,1127.666667
21/03/2020,25.11,2293.375
22/03/2020,39.27,1304
23/03/2020,33.07,2417.5
24/03/2020,27.13,2809.125
25/03/2020,40.76,1137.083333
26/03/2020,37.66,511.0833333
27/03/2020,35.5,897.875
28/03/2020,22.56,2316.041667
29/03/2020,17.88,2187.086957
30/03/2020,32.66,1645.541667
31/03/2020,30.39,766.9166667
01/04/2020,31.5,830.6666667
02/04/2020,25,1793.958333
03/04/2020,34.38,515.4166667
04/04/2020,29.64,2369.291667
05/04/2020,-5.18,3929.166667
06/04/2020,21.09,2187.916667
07/04/2020,31.4,1139.708333
08/04/2020,40.97,417.8333333
09/04/2020,34,408.7916667
10/04/2020,37.62,514.3333333
11/04/2020,38.37,382.7916667
12/04/2020,43.13,1070.75
13/04/2020,17.2,2990.5
14/04/2020,37.47,672.8333333
15/04/2020,33.78,442.5833333
16/04/2020,31.22,989.625
17/04/2020,31.17,1300.083333
18/04/2020,32.8,1260.125
19/04/2020,29,937.5416667
20/04/2020,23.38,1335.166667
21/04/2020,22,1404.625
22/04/2020,26.96,687.9166667
23/04/2020,29.99,329.75
24/04/2020,32.62,267.7916667
25/04/2020,33.68,223.0833333
26/04/2020,31.37,427.0416667
27/04/2020,30.09,506.6666667
28/04/2020,30.23,283.625
29/04/2020,24.65,1285.958333
30/04/2020,28.23,709.875
01/05/2020,30.95,855.0833333
02/05/2020,32.7,539.7083333
03/05/2020,32,616.375
04/05/2020,34.06,1445.375
05/05/2020,17.17,2872.625
06/05/2020,26.76,1844.083333
07/05/2020,29,1103.791667
08/05/2020,36.03,249.4166667
09/05/2020,39.84,254.25
10/05/2020,11.57,2485.458333
11/05/2020,20.71,1709.708333
12/05/2020,32.39,698.875
13/05/2020,29.61,748.4166667
14/05/2020,30.42,516.125
15/05/2020,32.17,483.125
16/05/2020,28.87,706.25
17/05/2020,25.83,1670.666667
18/05/2020,23.13,1489.291667
19/05/2020,30.61,973.4583333
20/05/2020,23.48,1216.875
21/05/2020,32.87,676.375
22/05/2020,11.74,4074
23/05/2020,-1.03,3881.875
24/05/2020,11.4,1546.041667
25/05/2020,20,1684.625
26/05/2020,32.85,288
27/05/2020,34.27,202.3333333
28/05/2020,28.73,1600.458333
29/05/2020,21.17,2803.916667
30/05/2020,27.42,1358.541667
31/05/2020,27.46,703.5833333
01/06/2020,31.68,393.1666667
02/06/2020,27.92,484.1666667
03/06/2020,25,2178.291667
04/06/2020,31.22,1430.875
05/06/2020,27.7,1903.416667
06/06/2020,2.38,3195.208333
07/06/2020,24.38,1756.583333
08/06/2020,36.94,468.4583333
09/06/2020,38.05,338.2083333
10/06/2020,35.46,1015.791667
11/06/2020,27,2323.333333
12/06/2020,25.66,1781.208333
13/06/2020,35,775.2916667
14/06/2020,38,412.4583333
15/06/2020,34.87,159.8333333
16/06/2020,38.87,287.1666667
17/06/2020,38.41,575.25
18/06/2020,38.66,282.5
19/06/2020,33.55,547.2916667
20/06/2020,17.4,2418.625
21/06/2020,16.64,2354.125
22/06/2020,29,2556.333333
23/06/2020,31.04,1727.458333
24/06/2020,38.7,351.5416667
25/06/2020,37.75,463.4166667
26/06/2020,37.92,513.375
27/06/2020,32.21,568.75
28/06/2020,10.93,3290.208333
29/06/2020,19.14,3171
30/06/2020,39.22,540.625
01/07/2020,39.83,508.0416667
02/07/2020,40.52,651.2916667
03/07/2020,27.35,2171.875
04/07/2020,40.12,1685.5
05/07/2020,-0.01,3644.208333
06/07/2020,30.66,1794.458333
07/07/2020,33.46,1814.291667
08/07/2020,44.73,691.2916667
09/07/2020,42.79,1148.083333
10/07/2020,34.04,1120.875
11/07/2020,29.72,310.9583333
12/07/2020,27,449.5833333
13/07/2020,32.1,1194.208333
14/07/2020,34,1263.375
15/07/2020,36.83,1308.666667
16/07/2020,39.49,993.3333333
17/07/2020,38.42,1102.375
18/07/2020,31.19,797.5416667
19/07/2020,34.44,522.4583333
20/07/2020,60.12,394.125
21/07/2020,44.9,213.25
22/07/2020,34,980.2083333
23/07/2020,34.58,687.875
24/07/2020,39.92,574
25/07/2020,37.08,786.7083333
26/07/2020,28.03,1054.875
27/07/2020,41.31,724.8333333
28/07/2020,28.34,950.7083333
29/07/2020,38.09,478.375
30/07/2020,33.13,2165.291667
31/07/2020,31.03,1698.791667
01/08/2020,40.82,993.2916667
02/08/2020,29.58,925.0833333
03/08/2020,39.26,525.25
04/08/2020,29.96,2479.583333
05/08/2020,33.2,1704.791667
06/08/2020,40.08,904.8333333
07/08/2020,36.29,1123.541667
08/08/2020,41.39,213.625
09/08/2020,40.82,280.4166667
10/08/2020,41.85,455.7083333
11/08/2020,46.73,397.9583333
12/08/2020,49.58,653.8333333
13/08/2020,42.24,988.6666667
14/08/2020,48.55,335.875
15/08/2020,44.2,222.5416667
16/08/2020,41.82,299.0416667
17/08/2020,52.19,306.7916667
18/08/2020,44.39,427.25
19/08/2020,51.11,1300.875
20/08/2020,28.01,1963.75
21/08/2020,37,2508.458333
22/08/2020,36.17,2353.916667
23/08/2020,42.32,1122.625
24/08/2020,64.13,373.375
25/08/2020,32.98,3060.666667
26/08/2020,46.45,1125.083333
27/08/2020,66.9,279.4166667
28/08/2020,39.23,1756.375
29/08/2020,33.93,1259.958333
30/08/2020,48.07,277.0416667
31/08/2020,55,906.375
01/09/2020,54.96,962.875
02/09/2020,44.32,2491.333333
03/09/2020,43.55,2088.208333
04/09/2020,49.24,1673.375
05/09/2020,41.12,1480.958333
06/09/2020,46.81,570.0833333
07/09/2020,44.98,1575.208333
08/09/2020,50.1,1443.666667
09/09/2020,44.97,1113.291667
10/09/2020,54.24,905.25
11/09/2020,31.18,1952.708333
12/09/2020,40.11,1546.416667
13/09/2020,25,2602.541667
14/09/2020,48.61,1194.25
15/09/2020,64.79,736.9583333
16/09/2020,64.96,120.125
17/09/2020,52.29,360.7083333
18/09/2020,50.48,690.2083333
19/09/2020,41.47,1070.625
20/09/2020,50.04,558.125
21/09/2020,75,349.1666667
22/09/2020,37.19,1359.125
23/09/2020,61,688.125
24/09/2020,46.11,2674.333333
25/09/2020,39.44,2366.625
26/09/2020,45.96,433.0833333
27/09/2020,52.66,608.5
28/09/2020,49.64,1168.708333
29/09/2020,76.54,847.5416667
30/09/2020,52.31,1721.166667
01/10/2020,100,483.1666667
02/10/2020,54.51,1903.958333
03/10/2020,62.93,869.375
04/10/2020,25,3125.416667
05/10/2020,53.82,2155.166667
06/10/2020,55.39,2520.125
07/10/2020,103.57,866.7916667
08/10/2020,58.54,617
09/10/2020,50.29,1859.583333
10/10/2020,51.88,1762.666667
11/10/2020,80.94,546.7916667
12/10/2020,52.85,2006.125
13/10/2020,53.83,1641.625
14/10/2020,55,958.625
15/10/2020,140,449.6666667
16/10/2020,72.55,923.7916667
17/10/2020,61.53,836.8333333
18/10/2020,56.54,1016.458333
19/10/2020,52.15,2619.875
20/10/2020,43.29,3338.458333
21/10/2020,69.01,1342.833333
22/10/2020,87,976.8333333
23/10/2020,59.46,2109.666667
24/10/2020,49,3556.583333
25/10/2020,44.945,3114.52
26/10/2020,40.89,2838.458333
27/10/2020,54.71,2904.791667
28/10/2020,43.25,3807.708333
29/10/2020,44.17,3544.875
30/10/2020,68.22,1217.291667
31/10/2020,17.46,2973
01/11/2020,20.87,3025.416667
02/11/2020,51.23,3682.125
03/11/2020,44.37,1933.25
04/11/2020,60,570.4166667
05/11/2020,51.29,359.7083333
06/11/2020,52.08,741.1666667
07/11/2020,54.16,823.75
08/11/2020,46.68,1559.041667
09/11/2020,49.96,1138
10/11/2020,54.94,1436.416667
11/11/2020,33.21,3222.291667
12/11/2020,44.98,2803.083333
13/11/2020,43.92,2862
14/11/2020,53.55,2895.791667
15/11/2020,63.04,3013.541667
16/11/2020,46,2923.833333
17/11/2020,44.66,3748.541667
18/11/2020,44.61,3168.125
19/11/2020,65,2135
20/11/2020,45.24,3517.291667
21/11/2020,52.29,2375.666667
22/11/2020,51.91,665.2083333
23/11/2020,47.04,2178.916667
24/11/2020,46.14,2075.083333
25/11/2020,55.08,761.125
26/11/2020,63.5,297.4583333
27/11/2020,76.55,444.0833333
28/11/2020,54.45,617.875
29/11/2020,58.75,150.4583333
30/11/2020,55.06,1184.416667
01/12/2020,65.33,465.875
02/12/2020,65.91,2110.916667
03/12/2020,68.02,1836.458333
04/12/2020,59.27,2331.958333
05/12/2020,52.25,3373.125
06/12/2020,59.08,391.375
07/12/2020,104.13,388.5833333
08/12/2020,78.23,1743.833333
09/12/2020,94.19,1339.375
10/12/2020,90.59,1528.833333
11/12/2020,73.76,1439.708333
12/12/2020,63.68,1567.875
13/12/2020,57.75,3088.333333
14/12/2020,52.74,2982.833333
15/12/2020,60.01,1888.625
16/12/2020,53.87,1820.666667
17/12/2020,61.08,2434.416667
18/12/2020,56.09,2891.208333
19/12/2020,55.2,3368.958333
20/12/2020,55,2409.166667
21/12/2020,65.52,1348.833333
22/12/2020,97.71,459
23/12/2020,61.32,2428.708333
24/12/2020,59.38,1706.166667
25/12/2020,74.78,379
26/12/2020,57.35,4076.913043
27/12/2020,64.19,3399.166667
28/12/2020,44,3357.75
29/12/2020,50.51,3006.25
30/12/2020,73.09,802.4166667
31/12/2020,69.55,1693.208333
01/01/2021,55.02,1478.958333
02/01/2021,81.36,585.2083333
03/01/2021,65.76,1198.666667
04/01/2021,73,1274.708333
05/01/2021,79,1158.25
06/01/2021,134.63,364.9583333
07/01/2021,103,1043
08/01/2021,81.54,1781.5
